,0
0,0.0
1,0.0
2,0.0
3,0.00211
4,0.00211
5,0.04547
6,0.60295
7,1.18121
8,1.84706
9,2.58842
10,3.27698
11,3.92255
12,4.50286
13,4.98867
14,5.3903
15,5.76264
16,6.05617
17,6.30995
18,6.5251
19,6.71403
20,6.8839
21,7.02641
22,7.16048
23,7.28116
24,7.36468
25,7.43833
26,7.50442
27,7.5665
28,7.60507
29,7.65488
30,7.6784
31,7.72763
32,7.77731
33,7.82011
34,7.84822
35,7.88149
36,7.91526
37,7.91681
38,7.93637
39,7.9642
40,7.99139
41,8.00673
42,8.01714
43,8.0596
44,8.08463
45,8.09806
46,8.09099
47,8.10585
48,8.13394
49,8.15066
50,8.17637
51,8.17758
52,8.15917
53,8.1453
54,8.15483
55,8.14532
56,8.16539
57,8.18769
58,8.18333
59,8.20405
60,8.19733
61,8.19609
62,8.21775
63,8.22896
64,8.22416
65,8.23786
66,8.24034
67,8.24656
68,8.2659
69,8.24784
70,8.25025
71,8.26438
72,8.29805
73,8.30448
74,8.31465
75,8.31468
76,8.32004
77,8.33029
78,8.3412
79,8.31894
80,8.31917
81,8.30521
82,8.3011
83,8.31276
84,8.31682
85,8.3221
86,8.33195
87,8.31435
88,8.31512
89,8.32733
90,8.33873
91,8.35325
92,8.36175
93,8.36434
94,8.36792
95,8.37831
96,8.38149
97,8.38861
98,8.41287
99,8.41059
100,8.42228
101,8.43446
102,8.44876
103,8.45074
104,8.4491
105,8.42988
106,8.42796
107,8.41248
108,8.40445
109,8.4083
110,8.3971
111,8.39324
112,8.40084
113,8.37992
114,8.38291
115,8.38729
116,8.39659
117,8.3906
118,8.38967
119,8.42286
120,8.37121
121,8.32898
122,8.25833
123,8.20069
124,8.0738
125,7.97002
126,7.83954
127,7.77927
128,7.70327
129,7.64235
130,7.53892
131,7.42469
132,7.35034
133,7.27224
134,7.20638
135,7.15742
136,7.09066
137,7.01238
138,6.93144
139,6.85507
140,6.8443
141,6.76839
142,6.69063
143,6.64799
144,6.59291
145,6.53933
146,6.44086
147,6.37013
148,6.27435
149,6.23039
150,6.1706
151,6.06206
152,6.01554
153,5.94923
154,5.89497
155,5.8387
156,5.78891
157,5.73588
158,5.72097
159,5.67331
160,5.63073
161,5.58957
162,5.56162
163,5.53417
164,5.5124
165,5.41515
166,5.36009
167,5.33573
168,5.29901
169,5.26378
170,5.22735
171,5.2046
172,5.18022
173,5.16438
174,5.14786
175,5.11822
176,5.0803
177,5.0455
178,4.97025
179,4.95982
180,4.94132
181,4.90993
182,4.88313
183,4.86294
184,4.83282
185,4.80044
186,4.768
187,4.72032
188,4.67424
189,4.64775
190,4.61227
191,4.58231
192,4.56532
193,4.53448
194,4.54174
195,4.51787
196,4.50717
197,4.47938
198,4.45656
199,4.4403
200,4.43745
201,4.43183
202,4.42575
203,4.39286
204,4.36743
205,4.31691
206,4.26024
207,4.23769
208,4.22073
209,4.21908
210,4.19874
211,4.18469
212,4.16785
213,4.17929
214,4.16152
215,4.13096
216,4.11167
217,4.10125
218,4.08566
219,4.07387
220,4.03438
221,3.98095
222,3.90828
223,3.85824
224,3.85609
225,3.83276
226,3.80546
227,3.77805
228,3.75793
229,3.75329
230,3.72387
231,3.69001
232,3.66013
233,3.63355
234,3.60431
235,3.59071
236,3.57414
237,3.55776
238,3.53543
239,3.50869
240,3.50492
241,3.48221
242,3.47029
243,3.43544
244,3.4165
245,3.39077
246,3.37994
247,3.35616
248,3.34237
249,3.3235
250,3.30312
251,3.27664
252,3.26173
253,3.24627
254,3.22969
255,3.21595
256,3.20612
257,3.19555
258,3.17784
259,3.1666
260,3.15602
261,3.14828
262,3.14506
263,3.1408
264,3.12535
265,3.10402
266,3.10646
267,3.09667
268,3.0802
269,3.07194
270,3.06318
271,3.05068
272,3.03611
273,3.03029
274,3.02596
275,3.02208
276,3.01251
277,3.00682
278,3.00512
279,3.0016
280,2.96929
281,2.95305
282,2.94049
283,2.9225
284,2.9127
285,2.9086
286,2.89917
287,2.89654
288,2.89492
289,2.88738
290,2.8815
291,2.87004
292,2.86718
293,2.85772
294,2.85465
295,2.83473
296,2.82092
297,2.81182
298,2.78258
299,2.7758
