,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.00091
5,0.00091
6,0.00091
7,0.00091
8,0.00091
9,0.00091
10,0.00091
11,0.00375
12,0.01447
13,0.50709
14,1.15708
15,1.83614
16,2.51333
17,3.17777
18,3.77338
19,4.28525
20,4.70427
21,5.12192
22,5.44199
23,5.7305
24,5.93603
25,6.13546
26,6.31963
27,6.44366
28,6.59824
29,6.68933
30,6.79386
31,6.88023
32,6.96971
33,7.04574
34,7.09899
35,7.14501
36,7.20886
37,7.23768
38,7.28156
39,7.29589
40,7.30998
41,7.3257
42,7.34322
43,7.37708
44,7.39458
45,7.40043
46,7.42336
47,7.42933
48,7.43971
49,7.43256
50,7.44782
51,7.47419
52,7.47771
53,7.48116
54,7.49157
55,7.50605
56,7.50168
57,7.49736
58,7.52094
59,7.53927
60,7.53857
61,7.52911
62,7.5383
63,7.56793
64,7.58053
65,7.59299
66,7.60358
67,7.59768
68,7.5917
69,7.60089
70,7.61859
71,7.605
72,7.61902
73,7.63225
74,7.64708
75,7.65437
76,7.65692
77,7.66286
78,7.67512
79,7.6861
80,7.69192
81,7.70441
82,7.70418
83,7.71593
84,7.71843
85,7.7101
86,7.74856
87,7.76298
88,7.76737
89,7.7693
90,7.7731
91,7.78325
92,7.78327
93,7.7996
94,7.79931
95,7.80334
96,7.81558
97,7.81596
98,7.81907
99,7.82306
100,7.82601
101,7.82819
102,7.83107
103,7.82566
104,7.82687
105,7.85955
106,7.87023
107,7.88147
108,7.88572
109,7.90875
110,7.91252
111,7.93013
112,7.92011
113,7.93014
114,7.93551
115,7.94015
116,7.94043
117,7.94908
118,7.97354
119,7.97928
120,7.99424
121,7.99974
122,8.02294
123,8.02827
124,8.03439
125,8.03458
126,8.03888
127,8.05188
128,8.05483
129,8.07235
130,8.05725
131,8.05097
132,8.04779
133,8.04697
134,8.04795
135,8.05632
136,8.04822
137,8.05866
138,8.07012
139,8.07892
140,8.08101
141,8.08584
142,8.10288
143,8.10657
144,8.10844
145,8.11834
146,8.13272
147,8.13018
148,8.13173
149,8.12771
150,8.1228
151,8.13503
152,8.13936
153,8.13124
154,8.12701
155,8.11562
156,8.12145
157,8.12536
158,8.13095
159,8.13679
160,8.14956
161,8.16557
162,8.17503
163,8.17222
164,8.18911
165,8.17988
166,8.19659
167,8.18455
168,8.2018
169,8.19529
170,8.19197
171,8.18948
172,8.1927
173,8.20193
174,8.22681
175,8.23216
176,8.24811
177,8.26589
178,8.27432
179,8.27182
180,8.27241
181,8.29439
182,8.29567
183,8.30816
184,8.29946
185,8.29772
186,8.29637
187,8.3139
188,8.31393
189,8.32938
190,8.33285
191,8.33807
192,8.34599
193,8.36008
194,8.36961
195,8.37005
196,8.37322
197,8.37573
198,8.38534
199,8.3863
200,8.38396
201,8.38146
202,8.39229
203,8.38057
204,8.38342
205,8.39388
206,8.39573
207,8.39419
208,8.38941
209,8.37907
210,8.38417
211,8.39344
212,8.38227
213,8.36903
214,8.36605
215,8.36671
216,8.37686
217,8.38526
218,8.38045
219,8.37852
220,8.36475
221,8.33779
222,8.34072
223,8.33311
224,8.33239
225,8.33723
226,8.34662
227,8.35143
228,8.36057
229,8.37644
230,8.40033
231,8.40108
232,8.3971
233,8.37736
234,8.38856
235,8.39155
236,8.4049
237,8.4144
238,8.41093
239,8.41691
240,8.42836
241,8.44707
242,8.44729
243,8.44688
244,8.43316
245,8.43399
246,8.4302
247,8.43357
248,8.42372
249,8.41503
250,8.41703
251,8.41026
252,8.41974
253,8.41349
254,8.41341
255,8.42222
256,8.42401
257,8.42597
258,8.41657
259,8.42646
260,8.43226
261,8.43914
262,8.4301
263,8.41887
264,8.42629
265,8.43497
266,8.43021
267,8.43029
268,8.43366
269,8.44118
270,8.43943
271,8.44548
272,8.45357
273,8.4798
274,8.47134
275,8.46051
276,8.46431
277,8.45745
278,8.4497
279,8.44344
280,8.43723
281,8.43313
282,8.4395
283,8.42656
284,8.42811
285,8.42506
286,8.41716
287,8.41072
288,8.40966
289,8.40354
290,8.38989
291,8.38825
292,8.38376
293,8.37623
294,8.36466
295,8.36581
296,8.36952
297,8.37086
298,8.36334
299,8.36138
