,0
0,0.0
1,0.0
2,0.00103
3,0.00103
4,0.00103
5,0.00103
6,0.00103
7,0.00848
8,0.37085
9,0.91363
10,1.46982
11,1.98577
12,2.48917
13,2.9357
14,3.30644
15,3.62003
16,3.87768
17,4.10414
18,4.30616
19,4.50264
20,4.62807
21,4.78052
22,4.85873
23,4.97358
24,5.04125
25,5.10707
26,5.18156
27,5.23244
28,5.26961
29,5.31385
30,5.36215
31,5.38727
32,5.41929
33,5.45297
34,5.48172
35,5.50662
36,5.52049
37,5.54658
38,5.56364
39,5.56921
40,5.58318
41,5.57476
42,5.57794
43,5.58562
44,5.59952
45,5.5953
46,5.59519
47,5.60599
48,5.61272
49,5.60867
50,5.61817
51,5.62144
52,5.61499
53,5.6114
54,5.62305
55,5.62119
56,5.63006
57,5.62919
58,5.62865
59,5.61728
60,5.62957
61,5.6303
62,5.63925
63,5.63633
64,5.6451
65,5.65217
66,5.65975
67,5.66332
68,5.66369
69,5.68988
70,5.70972
71,5.71995
72,5.72968
73,5.73695
74,5.73802
75,5.75267
76,5.74675
77,5.73632
78,5.73631
79,5.74327
80,5.74413
81,5.75316
82,5.74963
83,5.7631
84,5.77309
85,5.77552
86,5.78594
87,5.78796
88,5.79846
89,5.80554
90,5.81175
91,5.8183
92,5.83696
93,5.84284
94,5.84432
95,5.86824
96,5.87561
97,5.8706
98,5.86798
99,5.87865
100,5.87853
101,5.86909
102,5.87832
103,5.8736
104,5.89302
105,5.90377
106,5.91433
107,5.92482
108,5.9285
109,5.9288
110,5.92421
111,5.92469
112,5.93318
113,5.92895
114,5.92935
115,5.92785
116,5.9158
117,5.91909
118,5.92255
119,5.93182
120,5.93407
121,5.934
122,5.93692
123,5.94023
124,5.9569
125,5.95862
126,5.97119
127,5.97765
128,5.98009
129,5.98507
130,5.9998
131,6.00217
132,6.00697
133,6.0077
134,6.01381
135,6.00833
136,6.01559
137,6.01108
138,6.0084
139,6.01088
140,6.02567
141,6.03267
142,6.04208
143,6.03815
144,6.03221
145,6.02914
146,6.03789
147,6.0406
148,6.03671
149,6.03891
150,6.03289
151,6.03835
152,6.03205
153,6.0361
154,6.0452
155,6.05042
156,6.06283
157,6.07288
158,6.06623
159,6.06758
160,6.0749
161,6.07063
162,6.08023
163,6.07399
164,6.06999
165,6.07614
166,6.08009
167,6.08503
168,6.09597
169,6.09261
170,6.09745
171,6.10906
172,6.11682
173,6.11949
174,6.11981
175,6.12266
176,6.12009
177,6.12869
178,6.12986
179,6.12694
180,6.12161
181,6.12692
182,6.12244
183,6.12263
184,6.12306
185,6.12304
186,6.12733
187,6.133
188,6.13769
189,6.14375
190,6.14435
191,6.1291
192,6.1348
193,6.13617
194,6.14397
195,6.15128
196,6.15442
197,6.15576
198,6.15619
199,6.15633
200,6.15326
201,6.16109
202,6.16402
203,6.16788
204,6.16781
205,6.16904
206,6.1712
207,6.16912
208,6.16562
209,6.17131
210,6.174
211,6.17959
212,6.17812
213,6.17718
214,6.175
215,6.1728
216,6.17804
217,6.18752
218,6.18997
219,6.18423
220,6.18565
221,6.18378
222,6.19361
223,6.19742
224,6.20077
225,6.20448
226,6.19831
227,6.20118
228,6.19988
229,6.19952
230,6.18624
231,6.19261
232,6.19715
233,6.20386
234,6.20676
235,6.20913
236,6.20574
237,6.20633
238,6.19458
239,6.19266
240,6.19203
241,6.19037
242,6.19212
243,6.19802
244,6.1953
245,6.20317
246,6.20228
247,6.20441
248,6.20491
249,6.21333
250,6.21392
251,6.21195
252,6.21632
253,6.21135
254,6.21198
255,6.21684
256,6.21803
257,6.2195
258,6.22148
259,6.21616
260,6.20929
261,6.21216
262,6.21738
263,6.21672
264,6.21515
265,6.21804
266,6.20996
267,6.20896
268,6.21353
269,6.21455
270,6.22268
271,6.23169
272,6.2324
273,6.23937
274,6.24427
275,6.24165
276,6.24225
277,6.24834
278,6.25169
279,6.25514
280,6.24974
281,6.24861
282,6.25068
283,6.25032
284,6.24768
285,6.24385
286,6.2544
287,6.25471
288,6.25489
289,6.26067
290,6.25452
291,6.24818
292,6.24215
293,6.2353
294,6.23453
295,6.23662
296,6.2417
297,6.24114
298,6.24175
299,6.23713
