,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.00259
5,0.00652
6,0.01046
7,0.01444
8,0.03922
9,0.46314
10,0.76405
11,0.95474
12,1.11174
13,1.21548
14,1.29659
15,1.35643
16,1.40653
17,1.45765
18,1.49342
19,1.52936
20,1.56641
21,1.59678
22,1.62227
23,1.64872
24,1.67077
25,1.69066
26,1.70285
27,1.71906
28,1.73368
29,1.75073
30,1.75627
31,1.77261
32,1.78542
33,1.79549
34,1.80506
35,1.81308
36,1.82114
37,1.82928
38,1.83714
39,1.84581
40,1.84399
41,1.84287
42,1.84878
43,1.85649
44,1.86296
45,1.86333
46,1.86531
47,1.86958
48,1.87244
49,1.8789
50,1.88028
51,1.88279
52,1.87729
53,1.87863
54,1.88264
55,1.88679
56,1.89016
57,1.89347
58,1.90038
59,1.90352
60,1.90268
61,1.90826
62,1.90859
63,1.9128
64,1.91703
65,1.92012
66,1.92418
67,1.9224
68,1.92362
69,1.92326
70,1.92326
71,1.92631
72,1.93034
73,1.93054
74,1.93275
75,1.93518
76,1.9353
77,1.93465
78,1.9376
79,1.93836
80,1.94106
81,1.94084
82,1.94323
83,1.94519
84,1.94806
85,1.95235
86,1.95695
87,1.95921
88,1.95591
89,1.95791
90,1.96144
91,1.96467
92,1.96567
93,1.96767
94,1.97072
95,1.97435
96,1.97249
97,1.97133
98,1.97228
99,1.9788
100,1.98087
101,1.97883
102,1.98317
103,1.98442
104,1.98905
105,1.98992
106,1.98604
107,1.99013
108,1.99275
109,1.99134
110,1.99767
111,1.99729
112,2.00037
113,2.00135
114,1.99675
115,1.99848
116,2.00078
117,2.00381
118,1.99875
119,2.00077
120,2.00834
121,2.00743
122,2.00715
123,2.00792
124,2.00996
125,2.01034
126,2.01467
127,2.01415
128,2.01673
129,2.01812
130,2.01606
131,2.01456
132,2.01497
133,2.01842
134,2.02177
135,2.02427
136,2.02819
137,2.03036
138,2.03464
139,2.03558
140,2.03988
141,2.03699
142,2.04125
143,2.04466
144,2.04081
145,2.0423
146,2.04314
147,2.04699
148,2.04429
149,2.04392
150,2.04907
151,2.05093
152,2.05163
153,2.04953
154,2.05058
155,2.05004
156,2.05003
157,2.0553
158,2.05992
159,2.06024
160,2.06126
161,2.05873
162,2.06194
163,2.06004
164,2.06074
165,2.06191
166,2.06511
167,2.06266
168,2.06508
169,2.06615
170,2.0682
171,2.06992
172,2.07082
173,2.06666
174,2.06546
175,2.06902
176,2.06995
177,2.07077
178,2.07383
179,2.07674
180,2.07422
181,2.07362
182,2.0752
183,2.07771
184,2.07323
185,2.07947
186,2.07957
187,2.08233
188,2.08322
189,2.08069
190,2.08458
191,2.08554
192,2.08772
193,2.08681
194,2.08797
195,2.08299
196,2.0835
197,2.08481
198,2.0843
199,2.08341
200,2.08676
201,2.08339
202,2.08818
203,2.09113
204,2.0896
205,2.08942
206,2.09246
207,2.08917
208,2.08356
209,2.0846
210,2.08902
211,2.08668
212,2.09107
213,2.09011
214,2.08772
215,2.08673
216,2.08873
217,2.09708
218,2.09087
219,2.09028
220,2.09255
221,2.09716
222,2.09215
223,2.0981
224,2.09758
225,2.09627
226,2.09652
227,2.09391
228,2.09589
229,2.10123
230,2.10422
231,2.10663
232,2.10888
233,2.10627
234,2.11056
235,2.10769
236,2.11164
237,2.10879
238,2.10764
239,2.10877
240,2.10844
241,2.10569
242,2.10543
243,2.10787
244,2.1091
245,2.10997
246,2.10774
247,2.10873
248,2.10967
249,2.11149
250,2.11386
251,2.11764
252,2.11771
253,2.11954
254,2.11683
255,2.11369
256,2.11001
257,2.11099
258,2.11148
259,2.11349
260,2.11754
261,2.11785
262,2.11508
263,2.12013
264,2.11875
265,2.11945
266,2.11998
267,2.11621
268,2.11597
269,2.11557
270,2.11931
271,2.11861
272,2.12006
273,2.11815
274,2.11744
275,2.12081
276,2.12101
277,2.11829
278,2.11835
279,2.12453
280,2.12113
281,2.12189
282,2.12918
283,2.12876
284,2.12716
285,2.12697
286,2.1291
287,2.13219
288,2.13018
289,2.12991
290,2.1302
291,2.12588
292,2.12457
293,2.12486
294,2.12375
295,2.12407
296,2.12348
297,2.12941
298,2.12691
299,2.12905
