,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.00067
5,0.00067
6,0.00067
7,0.00329
8,0.03998
9,0.36769
10,0.50228
11,0.5668
12,0.59771
13,0.61027
14,0.62039
15,0.63019
16,0.63355
17,0.6391
18,0.65003
19,0.65327
20,0.66161
21,0.66039
22,0.66227
23,0.66414
24,0.67091
25,0.67656
26,0.67938
27,0.68044
28,0.67738
29,0.68138
30,0.68064
31,0.68976
32,0.69165
33,0.68877
34,0.69288
35,0.69215
36,0.69038
37,0.69659
38,0.69974
39,0.70068
40,0.70377
41,0.70404
42,0.70561
43,0.70333
44,0.70629
45,0.70539
46,0.6979
47,0.70484
48,0.70548
49,0.69939
50,0.70098
51,0.70455
52,0.70733
53,0.70591
54,0.71107
55,0.70099
56,0.70033
57,0.69849
58,0.70037
59,0.7044
60,0.70487
61,0.70832
62,0.70936
63,0.71011
64,0.70809
65,0.70755
66,0.70867
67,0.70926
68,0.71331
69,0.71367
70,0.71634
71,0.71955
72,0.71972
73,0.7152
74,0.71545
75,0.71643
76,0.71822
77,0.71504
78,0.71211
79,0.71319
80,0.71152
81,0.71709
82,0.71165
83,0.71137
84,0.70939
85,0.71317
86,0.72092
87,0.72145
88,0.71934
89,0.71754
90,0.71501
91,0.71593
92,0.71808
93,0.71623
94,0.71299
95,0.71686
96,0.72146
97,0.7215
98,0.71965
99,0.72207
100,0.71595
101,0.71237
102,0.71832
103,0.7201
104,0.71369
105,0.71382
106,0.71402
107,0.71923
108,0.71873
109,0.71961
110,0.71879
111,0.71574
112,0.71261
113,0.7139
114,0.71424
115,0.71468
116,0.71191
117,0.71843
118,0.71859
119,0.71693
120,0.71695
121,0.7169
122,0.71642
123,0.71882
124,0.71744
125,0.71629
126,0.71666
127,0.71863
128,0.71846
129,0.7147
130,0.71697
131,0.72
132,0.71927
133,0.71885
134,0.7128
135,0.71664
136,0.71753
137,0.71613
138,0.71888
139,0.72009
140,0.72199
141,0.72067
142,0.72239
143,0.7245
144,0.72266
145,0.72179
146,0.72675
147,0.72663
148,0.72539
149,0.72545
150,0.73043
151,0.72304
152,0.72993
153,0.72836
154,0.72394
155,0.72336
156,0.72446
157,0.72366
158,0.72458
159,0.7259
160,0.72407
161,0.7234
162,0.72314
163,0.72318
164,0.72591
165,0.72866
166,0.72366
167,0.72132
168,0.72689
169,0.72856
170,0.72638
171,0.72343
172,0.72375
173,0.72398
174,0.72851
175,0.72695
176,0.72747
177,0.72471
178,0.72588
179,0.72709
180,0.72381
181,0.72644
182,0.72646
183,0.72392
184,0.7228
185,0.71999
186,0.72216
187,0.72134
188,0.72189
189,0.72831
190,0.7215
191,0.72367
192,0.7229
193,0.72249
194,0.72557
195,0.72703
196,0.72617
197,0.72451
198,0.72108
199,0.72538
200,0.72288
201,0.72759
202,0.7291
203,0.72693
204,0.73064
205,0.72674
206,0.72591
207,0.72159
208,0.72356
209,0.72756
210,0.72745
211,0.72524
212,0.72388
213,0.7271
214,0.72101
215,0.72252
216,0.72614
217,0.72647
218,0.73029
219,0.7262
220,0.72662
221,0.72858
222,0.72852
223,0.72865
224,0.72701
225,0.72869
226,0.7252
227,0.72159
228,0.7234
229,0.72817
230,0.72193
231,0.72877
232,0.72866
233,0.72539
234,0.72396
235,0.72485
236,0.72458
237,0.72132
238,0.72699
239,0.72504
240,0.72346
241,0.72574
242,0.72456
243,0.72564
244,0.72567
245,0.72558
246,0.7254
247,0.72839
248,0.7271
249,0.72326
250,0.72571
251,0.72704
252,0.7252
253,0.72378
254,0.72645
255,0.72715
256,0.72784
257,0.72805
258,0.72569
259,0.7271
260,0.72813
261,0.72586
262,0.72472
263,0.72526
264,0.72468
265,0.72951
266,0.7292
267,0.72456
268,0.72685
269,0.72601
270,0.72692
271,0.726
272,0.7265
273,0.72872
274,0.72761
275,0.72794
276,0.7304
277,0.72914
278,0.72581
279,0.72311
280,0.72535
281,0.72463
282,0.7306
283,0.73083
284,0.73045
285,0.72931
286,0.72604
287,0.72956
288,0.73007
289,0.72638
290,0.7286
291,0.72517
292,0.72768
293,0.72846
294,0.72835
295,0.72745
296,0.72818
297,0.72865
298,0.72768
299,0.72734
